How many bones are present in adult human?,308,208, 206, 306
Which of the 7 wonders of world is present in India?, Taj Mahal, Great wall of China, Statue of Liberty, Leaning Tower of Pisa
Where does the sun rise from?,North, East, West, South
Who is world's richest person?,Elon Musk,Jeff Bezos, Bill Gates, Mukesh Ambani
First element in Periodic Table?,Hydrogen,Helium,Calcium,Nitrogen
20th element in periodic Table?,Calcium,Hydrogen,Helium,Radium
100th element in periodic table?,Fermium,Hydrogen,Helium,Nitrogen
Current PM of India?,Modi,Kiran Bedi,Rajiv,Manmohan Singh
Current President of USA?,Trump,Bush,Obama,Joe Biden
What is the Capital of South Korea?,Seoul,Paris,Argentina,New York
What is Capital AP?,Hyd,Delhi,Indore,Amritsar
What is capital of India?,Dehradun,Delhi,Kanpur,Jaipur
Earth's gravity value,10,9.8,9.7,10.5
How many laws did Newton proposed,50,5,10,3.5
What's the liquid used in human thermometer?,Boron,Silica,Alcohol,Mercury
Nearest star to Earth?,Moon,Sun,Proxima Centuria, Mars
Power house of the cell,Mitochondria,Plasma,Golgi complex,Nucleus
Humans breathe in?,Oxygen,Hydrogen,Nitrogen,CO2
Neighbouring country to Sweden,Norway,France,Italy,England
Island continent among these?,Maldives,West Indies,Sri Lanka,Australia
